NewDateTime,Ave_Flot_Air_Flow,Ave_Flot_Level,% Iron Feed,Starch Flow,Amina Flow,Ore Pulp Flow,Ore Pulp pH,Ore Pulp Density,% Silica Concentrate
4/24/2017 0:00,300.2631657,383.9824426,55.17,1979.58915,599.6764889,400.0172222,9.774028,1.7532065,4.36
4/24/2017 1:00,299.7824019,386.0490685,55.17,1758.466329,600.0431,400.4845278,9.539245944,1.754190278,3.29
4/24/2017 2:00,299.7500519,385.2509352,55.17,2379.752428,599.9484056,400.3256167,9.434226611,1.756872944,4.9
4/24/2017 3:00,299.9975222,389.6355185,55.17,2287.130046,599.5803833,399.8015056,9.725607,1.727124556,4.860152717
4/24/2017 4:00,300.0052204,387.8108074,55.17,2291.789167,599.8712167,399.5673333,9.845198389,1.633062833,4.780898453
4/24/2017 5:00,299.7674806,386.8598259,55.17,2243.469,599.7417889,400.0840278,10.025429,1.619873222,4.701644189
4/24/2017 6:00,299.8754278,383.0228037,55.17,1717.573645,600.0239889,399.7558167,10.00140878,1.597773222,4.622389925
4/24/2017 7:00,300.0847602,385.6230185,52.75,1523.887586,600.2370444,399.4411611,9.766502611,1.663532722,4.54313566
4/24/2017 8:00,299.9355389,384.1509111,52.75,1674.50784,599.6668222,401.4984111,9.492574167,1.692545722,4.463881396
4/24/2017 9:00,299.8560083,382.1033648,52.75,2046.1562,537.9009167,398.6999167,9.484628722,1.619104556,4.384627132
4/24/2017 10:00,299.9299222,385.5482722,52.75,2082.992383,471.6692611,401.1742944,9.956427444,1.642114833,4.305372868
4/24/2017 11:00,299.9798815,387.6641194,52.75,2199.924556,449.8958278,399.8285889,9.864080278,1.613251667,4.226118604
4/24/2017 13:00,299.7288833,384.5765167,52.75,2293.699667,599.8936611,400.7652806,10.03102694,1.556141798,4.067610075
4/24/2017 14:00,300.0217407,383.8786704,52.75,2427.455778,600.6088944,399.5397111,9.955675333,1.679331222,3.988355811
4/24/2017 15:00,299.9261583,384.000713,52.75,2519.030389,600.1332222,399.4282667,9.955293111,1.714904611,3.909101547
4/24/2017 16:00,300.0174093,383.3316019,48.77,2054.883801,599.8648833,399.4931778,9.673482833,1.741476444,3.829847283
4/24/2017 17:00,300.1203426,383.7985519,48.77,2154.156806,600.00275,399.8020389,10.03071167,1.756772778,3.79
4/24/2017 18:00,299.845412,383.1773333,48.77,2183.087147,599.8956056,400.2048111,10.00495922,1.765038222,3.09
4/24/2017 19:00,300.0466574,426.4301806,48.77,1999.314104,570.5057611,401.3853111,9.879140556,1.741222389,1.27
4/24/2017 20:00,299.8175435,382.9748685,48.77,1331.537192,599.8852611,399.3526833,9.830653833,1.758844944,1.49
4/24/2017 21:00,299.8579046,384.1438481,48.77,1929.767833,599.7385389,400.2130056,9.941823111,1.759197611,1.12
4/24/2017 22:00,299.9551037,384.4891204,48.77,1809.638728,599.9574056,399.4737278,9.8728375,1.764373944,1.15
4/24/2017 23:00,299.8427037,383.1477907,48.77,2043.904619,599.8158444,399.0680944,9.685955778,1.778463833,1.0
4/25/2017 0:00,299.9919296,383.556713,48.77,1253.039972,599.9116056,399.2935167,9.557721167,1.752879722,3.29
4/25/2017 1:00,299.9744167,465.0028974,45.38,2173.967,594.5777913,402.9773981,9.7279585,1.680609498,1.07
4/25/2017 2:00,299.9081861,421.1138998,45.38,1849.443875,600.9984615,400.6985102,9.970401333,1.715233557,1.34
4/25/2017 3:00,299.8332694,382.14685,45.38,2276.605778,600.3260278,399.8541611,9.912237333,1.744260167,1.04
4/25/2017 4:00,299.550175,383.8534093,45.38,2325.627833,600.0469444,400.3248111,9.771810111,1.736656111,1.34
4/25/2017 5:00,299.8915824,383.1373722,45.38,1924.970917,599.7512556,400.0274556,9.607690667,1.741411944,1.17
4/25/2017 6:00,299.8844259,399.6145926,45.38,939.5796609,581.986317,399.1775449,9.889694389,1.726302265,1.09
4/25/2017 21:00,299.9122537,470.5094185,54.52,1938.379833,435.9684472,399.9121667,9.828282889,1.600870778,3.58
4/25/2017 22:00,300.1173491,466.3449333,54.52,2011.311241,504.6200333,400.2125722,9.609012722,1.685327833,4.03
4/25/2017 23:00,299.9748019,466.5082593,54.52,1740.856852,511.3167333,399.0826444,9.368424944,1.696375444,3.02
4/26/2017 0:00,300.0084685,553.3396602,54.52,1185.441269,427.7588194,400.6521056,9.474597833,1.638296083,4.72
4/26/2017 1:00,299.6121782,468.8227037,52.5,2101.789056,504.8622722,400.4713806,9.546957889,1.690370333,4.86
4/26/2017 2:00,300.0173639,466.3526815,52.5,2080.727833,520.0816722,398.9425611,9.682995111,1.707265278,5.0
4/26/2017 3:00,299.9713602,465.9308278,52.5,2178.368908,527.0575833,399.7772167,10.20317944,1.716761278,3.23
4/26/2017 4:00,299.8773639,471.4155056,52.5,2275.3955,523.0835,402.262925,9.932053111,1.715639167,1.3
4/26/2017 5:00,299.9646111,467.2681722,52.5,1932.545047,558.4890611,399.3347389,9.643669889,1.717317222,1.23
4/26/2017 6:00,300.367138,466.8866352,52.5,1324.69296,599.9697444,399.7539889,9.605467278,1.704323111,1.38
4/26/2017 7:00,300.0981639,466.4292389,56.08,1598.260931,570.3344222,399.5448889,9.512043111,1.6834085,1.32
4/26/2017 8:00,299.8050926,466.5321574,56.08,2329.218589,508.3765111,399.6370056,9.885748056,1.702713889,1.13
4/26/2017 9:00,299.7470463,468.2613148,56.08,2294.3244,517.0159167,399.4412611,9.901727222,1.733020833,1.06
4/26/2017 10:00,300.1257213,467.04085,56.08,1710.064363,508.2994,398.7234944,9.791573778,1.740313111,1.13
4/26/2017 11:00,299.9619574,468.0651829,56.08,2191.631034,516.27455,400.1842778,9.773383611,1.730190556,0.88
4/26/2017 12:00,299.5616769,467.1369153,56.08,2036.484621,497.3824,400.2642667,9.856866833,1.749059389,1.11
4/26/2017 13:00,299.7114231,466.0257593,56.08,1990.332111,448.0029833,400.2487222,9.7525335,1.703239611,1.06
4/26/2017 14:00,300.0669954,466.85725,56.08,1649.516192,430.7272889,398.8795889,9.562289611,1.709878333,1.1
4/26/2017 15:00,299.9132435,465.5794778,56.08,1929.316842,353.8623722,401.0316389,9.514848833,1.600725722,1.23
4/26/2017 16:00,299.9219676,465.8138222,56.75,2320.031469,380.9938722,401.0547778,9.409988389,1.653442444,1.18
4/26/2017 17:00,299.8022296,470.2831481,56.75,1209.221133,386.5818778,399.0276167,9.8467115,1.692492889,3.2
4/26/2017 18:00,300.0120463,492.1652398,56.75,1974.584314,367.2915722,400.3631833,9.816950278,1.589219333,3.71
4/26/2017 19:00,299.9333833,467.3178796,56.75,2252.776901,486.8165444,400.1635833,9.565397722,1.665081889,2.12
4/26/2017 20:00,299.8226407,466.6219556,56.75,2178.070569,510.7397944,400.0974556,9.542703333,1.696967111,2.12
4/26/2017 21:00,300.185563,466.3277019,56.75,2322.867858,508.7693944,399.3063056,9.541725556,1.694079444,2.85
4/26/2017 22:00,299.7503074,466.5404944,56.75,2597.630389,518.5089778,400.8095556,9.797838111,1.706789944,2.69
4/26/2017 23:00,299.7994278,466.7705111,56.75,2569.949222,529.6111167,399.7920722,9.8811485,1.723094167,1.84
4/27/2017 0:00,299.9730361,466.2902056,56.75,2414.208722,503.0680667,400.2545167,9.863051944,1.685535889,1.25
4/27/2017 1:00,299.6062343,466.8232833,53.48,2619.885056,523.9078056,399.8620722,9.710519556,1.723136111,1.64
4/27/2017 2:00,299.8308843,466.2914056,53.48,1950.659608,507.7045389,399.9516778,9.576844722,1.721793722,1.24
4/27/2017 3:00,300.0727972,467.0430593,53.48,2055.754094,511.5303222,400.1416222,9.462354111,1.742884167,1.56
4/27/2017 4:00,300.0643148,467.1036722,53.48,2057.808785,493.9244778,399.7450833,9.542906111,1.745496444,2.08
4/27/2017 5:00,299.987075,468.9742259,53.48,2681.341757,454.4817778,399.1885083,9.756259444,1.709181156,2.96
4/27/2017 6:00,299.7762019,521.77905,53.48,1855.967239,337.1145889,398.2535833,9.660869278,1.582190344,2.14
4/27/2017 7:00,299.8777204,466.6024148,58.05,1671.360058,439.1067333,399.7678667,9.130628778,1.711882667,2.47
4/27/2017 15:00,298.4909611,467.6138722,58.05,1790.092819,525.2191556,400.2452556,9.639958333,1.753096556,3.34
4/27/2017 16:00,299.8148259,465.7395944,59.74,2326.626944,549.6040667,399.9221778,9.690894556,1.749940222,3.03
4/27/2017 17:00,299.9432398,466.798637,59.74,2296.625167,553.7339444,400.4854833,9.637751778,1.753272222,4.28
4/27/2017 18:00,299.8463231,466.0589037,59.74,2058.2565,543.598,399.5907556,9.505411222,1.741805833,3.83
